WMD 1.0
ROOM 0,7,6
0,1,0,WALL|INVERT
0,2,0,WALL|INVERT
0,2,2,WINDOW|INVERT
0,3,0,RED|INVERT
0,4,0,WALL|INVERT
0,4,2,WINDOW|INVERT
0,5,0,RED|INVERT
0,6,0,WALL|INVERT
0,6,2,WINDOW|INVERT
0,7,0,WALL|INVERT
0,8,0,WALL|INVERT
1,0,0,WALL
1,1,0,PLANT|INVERT
1,7,0,SOFA_SW|INVERT
1,8,0,SOFA_SW|INVERT
1,9,0,INSET_CORNER
2,0,0,WALL
2,0,2,WINDOW
2,4,0,INFO
2,8,0,SOFA_SW|INVERT
2,9,0,INSET_WALL
3,0,0,WALL
3,0,2,WINDOW
3,1,0,SOFA_SW
3,9,0,INSETEDGE
4,0,0,WALL
4,0,2,WINDOW
4,1,0,SOFA_SW
4,3,0,SOFA_SW
4,4,0,SOFA_SW
4,4,1,SOFA_SW
4,5,0,SOFA_SW
4,8,0,COR_DOOR|SPECIAL
4,8,3,DOORJAMB
5,0,0,WALL
5,0,2,WINDOW
5,1,0,SOFA_SW
5,3,0,SOFA_SW
5,4,0,SOFA_SW
5,4,1,SOFA_SW
5,5,0,SOFA_SW
5,9,0,INSET_CORNER
6,0,0,WALL
6,0,2,WINDOW
6,3,0,SOFA_SW
6,4,0,SOFA_SW
6,4,1,SOFA_SW
6,5,0,SOFA_SW
6,8,0,SOFA_SW|INVERT
6,9,0,INSET_WALL
7,0,0,WALL
7,8,0,SOFA_SW
7,9,0,INSET_WALL
8,0,0,WALL
8,2,0,COR_DOOR|INVERT|SPECIAL
8,2,3,DOORJAMB|INVERT
8,7,0,COR_DOOR|INVERT|SPECIAL
8,7,3,DOORJAMB|INVERT
8,9,0,INSET_WALL
9,1,0,INSETEDGE|INVERT
9,3,0,INSET_CORNER|INVERT
9,4,0,INSET_WALL|INVERT
9,5,0,INSET_WALL|INVERT
9,6,0,INSETEDGE|INVERT
9,8,0,INSET_CORNER|INVERT
ROOM 1,7,7
0,2,0,COR_DOOR|INVERT|SPECIAL
0,2,3,DOORJAMB|INVERT
0,3,0,CTRL1|INVERT
0,4,0,COMPUTERA|INVERT
0,4,3,BIG_SCN_L|INVERT
0,5,0,COMPUTERB|INVERT
0,5,3,BIG_SCN_R|INVERT
0,6,0,CTRL1|INVERT
0,7,0,COR_DOOR|INVERT|SPECIAL
0,7,3,DOORJAMB|INVERT
0,8,0,WALL|INVERT
1,1,0,WALLCURVE1|INVERT
1,3,3,INSETEDGE|INVERT
1,6,3,INSET_CORNER|INVERT
1,9,0,INSET_WALL
2,0,0,WALL
2,0,2,WINDOW
2,3,0,TERMINAL
2,5,0,TERMINAL
2,9,0,INSET_WALL
3,0,0,WALL
3,0,2,WINDOW
3,2,0,CHAIR_SE
3,3,0,TERMINAL
3,3,1,LAMPBACK
3,5,0,TERMINAL
3,5,1,LAMP
3,6,0,CHAIR_NE
3,9,0,INSET_WALL
4,0,0,WALL
4,0,2,WINDOW
4,2,0,CHAIR_SE
4,3,0,TERMINAL
4,3,1,LAMPBACK
4,5,0,TERMINAL
4,5,1,LAMP
4,6,0,CHAIR_NE
4,9,0,INSET_WALL
5,0,0,WALL
5,0,2,WINDOW
5,3,0,TERMINAL
5,4,0,TERMINAL|INVERT
5,4,1,LAMP|INVERT
5,5,0,TERMINAL
5,9,0,INSET_WALL
6,0,0,WALL
6,4,0,CHAIR_NE|INVERT
6,9,0,INSET_WALL
7,1,0,WALLCURVE2|INVERT
7,8,0,INSET_WCV1
8,1,0,RED
8,1,1,TRANSP_WALL
8,2,0,STAIRS
8,3,0,STAIRS
8,4,0,STAIRS
8,5,0,STAIRS
8,6,0,STAIRS
8,7,0,STAIRS
8,8,0,INSET_WALL
8,8,1,TRANSP_WALL
9,1,0,RED
9,1,1,TRANSP_WALL
9,2,0,GLASS_TILE
9,3,0,GLASS_TILE
9,4,0,GLASS_TILE
9,5,0,GLASS_TILE
9,6,0,GLASS_TILE
9,7,0,GLASS_TILE
9,8,0,INSET_WALL
9,8,1,TRANSP_WALL
ROOM 2,7,7
0,1,0,RED
0,1,1,TRANSP_WALL
0,2,0,STAIRN|INVERT
0,3,0,STAIRN|INVERT
0,4,0,STAIRN|INVERT
0,5,0,STAIRN|INVERT
0,6,0,STAIRN|INVERT
0,7,0,STAIRN|INVERT
0,8,0,INSET_WALL
0,8,1,TRANSP_WALL
1,1,0,WALLCURVE1|INVERT
1,8,0,INSET_WCV2|INVERT
2,0,0,WALL
2,2,0,INFO|INVERT|SPECIAL
2,5,0,CHAIR_SE|INVERT
2,9,0,INSET_WALL
3,0,0,WALL
3,0,2,WINDOW
3,1,0,SOFA_SW
3,9,0,INSET_WALL
4,0,0,WALL
4,0,2,WINDOW
4,1,0,SOFA_SW
4,3,0,CHAIR_SE
4,5,1,SOLIDBRICK|INVERT
4,6,1,SOLIDBRICK|INVERT
4,7,0,CHAIR_NE
4,9,0,INSET_WALL
5,0,0,WALL
5,0,2,WINDOW
5,1,0,SOFA_SW
5,5,1,SOLIDBRICK|INVERT
5,6,1,SOLIDBRICK|INVERT
5,9,0,INSET_WALL
6,0,0,WALL
6,0,2,WINDOW
6,1,0,SOFA_SW
6,5,0,CHAIR_NE|INVERT
6,9,0,INSETEDGE
7,0,0,WALL
7,0,2,WINDOW
7,8,0,COR_DOOR|SPECIAL
7,8,3,DOORJAMB
8,0,0,WALL
